Company,Average Salary,symbol,industry,sector
vTv Therapeutics Inc.,301.25,VTVT,Biotechnology,Healthcare
"Voyager Therapeutics, Inc.",144.6,VYGR,Biotechnology,Healthcare
"Windtree Therapeutics, Inc.",504.0,WINT,Biotechnology,Healthcare
XBiotech Inc.,108.25,XBIT,Biotechnology,Healthcare
"Exicure, Inc.",136.65,XCUR,Biotechnology,Healthcare
Xenon Pharmaceuticals Inc.,468.0,XENE,Biotechnology,Healthcare
"X4 Pharmaceuticals, Inc.",228.5,XFOR,Biotechnology,Healthcare
"Xencor, Inc.",106.5,XNCR,Biotechnology,Healthcare
XOMA Corporation,133.5,XOMA,Biotechnology,Healthcare
"Y-mAbs Therapeutics, Inc.",216.3,YMAB,Biotechnology,Healthcare
Zai Lab Limited,175.85714285714286,ZLAB,Biotechnology,Healthcare
"Zentalis Pharmaceuticals, Inc.",167.65,ZNTL,Biotechnology,Healthcare
Zymeworks Inc.,172.5,ZYME,Biotechnology,Healthcare
