year,symbol,marketCap,NetIncomeLoss,OperatingIncomeLoss,ResearchAndDevelopmentExpense,GeneralAndAdministrativeExpense,Revenues,CostOfGoodsSold,SalesRevenueGoodsNet,SalesRevenueNet,PaymentsToAcquirePropertyPlantAndEquipment,NetCashProvidedByUsedInOperatingActivities,CommonStockValue,CashAndCashEquivalentsAtCarryingValue,operatingMargin
2019,ALNY,,886116000.0,939431000.0,655114000.0,,,,,,140156000.0,278427000.0,1122000.0,547178000.0,-4.275
2020,ALNY,15289.46,,,,,,,,,,,,,
2015,ALPN,,,,,,,,,,,,,,-0.7541
2016,ALPN,,,,,,,,,,,,,,-0.4027
2017,ALPN,,-7783000.0,-14974000.0,10626000.0,6079000.0,,,,,586000.0,-16572000.0,,,-4.8371
2018,ALPN,,-36487000.0,-37830000.0,28970000.0,8362000.0,,,,,495000.0,-28416000.0,,10711000.0,-53.6596
2019,ALPN,,41852000.0,43574000.0,35847000.0,9467000.0,,,,,821000.0,35346000.0,,16123000.0,-25.0425
2020,ALPN,187.4246,,,,,,,,,,,,,
2015,ALRN,,,,,,,,,,,,,,
2016,ALRN,,,,,,,,,,,,,,
2017,ALRN,,-6865000.0,-7041000.0,4311000.0,2730000.0,,,,,,,,11863000.0,
2018,ALRN,,-7034000.0,-6982000.0,3961000.0,3021000.0,,,,,,,,,
2019,ALRN,,-7236000.0,-7348000.0,4709000.0,2639000.0,,,,,,,,5311000.0,
2020,ALRN,84.13593,,,,,,,,,,,,,
2015,ALT,,,,,,,,,,,,,,-0.3198
2016,ALT,,,,,,,,,,,,,,-3.4274
2017,ALT,,-46425390.0,-52045259.0,18406329.0,8457557.0,,,,10738322.0,112441.0,,1810.0,8769465.0,-4.8467
2018,ALT,,-39171152.0,-42834410.0,18459310.0,9765581.0,,,,,975407.0,-9388908.0,,,-4.1461
2019,ALT,,-20520131.0,-21464935.0,17765553.0,8500783.0,,,,,1227.0,-9601997.0,,,-3.7
2020,ALT,384.4102,,,,,,,,,,,,,
2015,ALVR,,,,,,,,,,,,,,
2016,ALVR,,,,,,,,,,,,,,
2017,ALVR,,,,,,,,,,,,,,
2018,ALVR,,,,,,,,,,,,,,
2019,ALVR,,,,,,,,,,,,,,
2020,ALVR,0.0,,,,,,,,,,,,,
2015,ALXN,,144385000.0,536671000.0,709472000.0,,,233089000.0,2602532000.0,2604047000.0,286335000.0,675199000.0,23000.0,1010111000.0,0.2061
2016,ALXN,,399000000.0,667000000.0,757000000.0,,,258000000.0,3082000000.0,3084000000.0,333000000.0,1086000000.0,0.0,966000000.0,0.2164
2017,ALXN,,443300000.0,627400000.0,878400000.0,,,454200000.0,3549500000.0,3551100000.0,357300000.0,1115600000.0,0.0,584400000.0,0.1767
2018,ALXN,,77600000.0,269600000.0,730400000.0,,,,,,213000000.0,426000000.0,0.0,1365500000.0,0.0653
2019,ALXN,,2404300000.0,2120400000.0,886000000.0,,,,,,154700000.0,2084900000.0,,2685500000.0,0.4248
2020,ALXN,26228.43,,,,,,,,,,,,,
2015,ALXO,,,,,,,,,,,,,,
2016,ALXO,,,,,,,,,,,,,,
2017,ALXO,,,,,,,,,,,,,,
2018,ALXO,,,,,,,,,,,,,,-6.6202
2019,ALXO,,,,,,,,,,,,,,-3.9998
2020,ALXO,1515.66,,,,,,,,,,,,,
2015,AMGN,,6939000000.0,8470000000.0,,,21662000000.0,4227000000.0,20944000000.0,,594000000.0,9077000000.0,,4144000000.0,0.391
2016,AMGN,,7722000000.0,9794000000.0,,,22991000000.0,4162000000.0,21892000000.0,,738000000.0,10354000000.0,,3241000000.0,0.426
2017,AMGN,,1979000000.0,9973000000.0,,,22849000000.0,4069000000.0,21795000000.0,,664000000.0,11177000000.0,,3800000000.0,0.4365
2018,AMGN,,8394000000.0,10263000000.0,,,23747000000.0,,,,738000000.0,11296000000.0,,6945000000.0,0.4355
2019,AMGN,,7842000000.0,9674000000.0,,,23362000000.0,,,,618000000.0,9150000000.0,,6037000000.0,0.4141
2020,AMGN,133046.2,,,,,,,,,,,,,
2015,AMRN,,-115204000.0,-98222000.0,51062000.0,,,27875000.0,80987000.0,81756000.0,28000.0,,149978000.0,106961000.0,-1.1853
2016,AMRN,,-86350000.0,-65626000.0,49975000.0,,130084000.0,34363000.0,128966000.0,,21000.0,,207166000.0,98251000.0,-0.5045
2017,AMRN,,-67865000.0,-45555000.0,47158000.0,,181104000.0,44952000.0,179825000.0,,12000.0,,,73637000.0,-0.2515
2018,AMRN,,-116445000.0,-108225000.0,55900000.0,,,,,,58000.0,-94703000.0,,,-0.4722
2019,AMRN,,22645000.0,24279000.0,34392000.0,,,,,,2478000.0,9366000.0,,,-0.0565
2020,AMRN,1935.691,,,,,,,,,,,,,
2015,AMTI,,,,,,,,,,,,,,
2016,AMTI,,,,,,,,,,,,,,
2017,AMTI,,,,,,,,,,,,,,
2018,AMTI,,,,,,,,,,,,,,
2019,AMTI,,,,,,,,,,,,,,
2020,AMTI,1129.16,,,,,,,,,,,,,
2015,ANAB,,,,,,,,,,,,,,-0.1891
2016,ANAB,,,,,,,,,,,,,,-0.1813
2017,ANAB,,-30070000.0,-28781000.0,29443000.0,9338000.0,,,,10000000.0,290000.0,-19438000.0,24000.0,81189000.0,-2.8781
2018,ANAB,,-61656000.0,-66722000.0,56196000.0,15526000.0,,,,,1063000.0,-48506000.0,27000.0,113596000.0,-13.3444
2019,ANAB,,97336000.0,107432000.0,99338000.0,16094000.0,,,,,805000.0,69517000.0,27000.0,171017000.0,-13.429
2020,ANAB,702.5211,,,,,,,,,,,,,
2015,ANCN,,,,,,,,,,,,,,
2016,ANCN,,,,,,,,,,,,,,
2017,ANCN,,,,,,,,,,,,,,
2018,ANCN,,,,,,,,,,,,,,
2019,ANCN,,,,,,,,,,95000.0,-16458000.0,,,
2020,ANCN,40.43829,,,,,,,,,,,,,
2015,ANIK,,30758000.0,48134000.0,8987000.0,,,21053000.0,87696000.0,92999000.0,9225000.0,39064000.0,,,0.5176
2016,ANIK,,32547000.0,50607000.0,10732000.0,,,24027000.0,102932000.0,103379000.0,14014000.0,23801000.0,,,0.4895
2017,ANIK,,31816000.0,45729000.0,18787000.0,,,27364000.0,107783000.0,113420000.0,8980000.0,40812000.0,,,0.4032
2018,ANIK,,18722000.0,21749000.0,18190000.0,,,,,,4656000.0,34918000.0,,,0.20600000000000002
2019,ANIK,,27193000.0,34248000.0,16665000.0,,,,,,2827000.0,37005000.0,,,0.2988
2020,ANIK,500.2432,,,,,,,,,,,,,
2015,ANIX,,,,,,,,,,,,,,-0.1021
2016,ANIX,,,,,,,,,,,,,,-15.03
2017,ANIX,,,,,,,,,,,,,,-12.491
2018,ANIX,,-13996025.0,-14289058.0,6813043.0,,1112500.0,,,,,,189086.0,3055890.0,-12.8441
2019,ANIX,,,-11890005.0,5473427.0,,250000.0,,,,,,203317.0,3491625.0,-47.56
